Any,Ambit,Titularitat,Entitat,TipusEquipament,UsosFuncionals,Equipament,Districte,Latitud,Longitud,Web,Sala,Espectacles,Nota
2016,"Arts escèniques",Privada,"Assoc. d'Idees - La Escocesa","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Sala Fènix","01. Ciutat Vella",41.3777431,2.1690638,,"Sala Fènix",54,
2016,"Arts escèniques",Privada,"Assoc. d'Idees - La Escocesa","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Sala Flyhard","03. Sants-Montjuïc",41.371816,2.1408658,,"Sala Flyhard",6,
2016,"Arts escèniques",Privada,"Solmon Tros","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Sala Muntaner","02. Eixample",41.384030243,2.163168230,http://www.salamuntaner.com,"Sala Muntaner",14,
2016,"Arts escèniques",Privada,"Apunta Teatre","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Sala Versus Glòries","02. Eixample",41.402080107,2.183906477,http://versusteatre.com,"Sala Versus Glòries",15,
2016,"Arts escèniques",Municipal,"N54 Produccions SL i Thomas Noone","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","saT! Sant Andreu Teatre","09. Sant Andreu",41.430583231,2.188904165,http://www.sat-teatre.cat,"saT! Sant Andreu Teatre",58,
2016,"Arts escèniques",Privada,"Teatre Akadèmia","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Teatre Akadèmia","02. Eixample",41.392700831,2.147273481,http://www.teatreakademia.cat,"Teatre Akadèmia",25,
2016,"Arts escèniques",Privada,"Teatre Apolo","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Apolo","03. Sants-Montjuïc",41.374764425,2.170308608,http://www.teatreapolo.com,"Teatre Apolo",15,
2016,"Arts escèniques",Privada,"Grup Balaña","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Borràs","01. Ciutat Vella",41.388856627,2.173599270,https://www.grupbalana.com,"Teatre Borràs",17,
2016,"Arts escèniques",Privada,Focus,"Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Condal","03. Sants-Montjuïc",41.374775800,2.164709963,http://www.teatrecondal.cat,"Teatre Condal",15,
2016,"Arts escèniques",Privada,"Factoria Artípolis","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Teatre del Raval","01. Ciutat Vella",41.379373252,2.165215007,http://www.teatredelraval.com,"Teatre del Raval",22,
2016,"Arts escèniques",Privada,"Teatre de la Nau","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Teatre Gaudí Barcelona","02. Eixample",,,http://teatregaudibarcelona.com,"Teatre Gaudí Barcelona (Sala Gran)",14,
2016,"Arts escèniques",Privada,"Teatre de la Nau","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Teatre Gaudí Barcelona","02. Eixample",,,http://teatregaudibarcelona.com,"Teatre Gaudí Barcelona (Sala Petita)",4,
2016,"Arts escèniques",Privada,Focus,"Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Goya","02. Eixample",41.384184369,2.164671620,http://www.teatregoya.cat,"Teatre Goya",11,
2016,"Arts escèniques",Municipal,"Institut de Cultura. Ajuntament de Barcelona","Sales d'arts escèniques","Espais de representacions escèniques","Teatre Grec","03. Sants-Montjuïc",41.3695356,2.1598196,http://grec.bcn.cat,"Teatre Grec",12,
2016,"Arts escèniques","Consorci o fundació amb presència municipal","Teatre Lliure","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Teatre Lliure","03. Sants-Montjuïc",,,http://www.teatrelliure.com,"Teatre Lliure (Espai Lliure)",11,
2016,"Arts escèniques","Consorci o fundació amb presència municipal","Teatre Lliure","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Lliure","06. Gràcia",41.402729880,2.156013379,http://www.teatrelliure.com,"Teatre Lliure (Gràcia)",12,
2016,"Arts escèniques","Consorci o fundació amb presència municipal","Teatre Lliure","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Lliure","03. Sants-Montjuïc",,,http://www.teatrelliure.com,"Teatre Lliure (Sala Fabià Puigserver)",24,
2016,"Arts escèniques","Pública no municipal","Generalitat de Catalunya","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Nacional de Catalunya","02. Eixample",,,http://www.tnc.cat,"Teatre Nacional de Catalunya (Sala Gran)",9,
2016,"Arts escèniques","Pública no municipal","Generalitat de Catalunya","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Nacional de Catalunya","02. Eixample",,,http://www.tnc.cat,"Teatre Nacional de Catalunya (Sala Petita)",6,
2016,"Arts escèniques","Pública no municipal","Generalitat de Catalunya","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Nacional de Catalunya","02. Eixample",,,http://www.tnc.cat,"Teatre Nacional de Catalunya (Sala Tallers)",13,
2016,"Arts escèniques",Privada,"Tres x Tr3s","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Poliorama","01. Ciutat Vella",41.384144463,2.170723150,http://www.teatrepoliorama.com,"Teatre Poliorama",24,
2016,"Arts escèniques",Privada,Focus,"Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Romea","01. Ciutat Vella",41.380553512,2.171064836,http://www.teatreromea.com,"Teatre Romea",22,
2016,"Arts escèniques",Municipal,"Teatre Tantarantana","Fàbriques de Creació","Sales d'arts escèniques de - 200 butaques","Teatre Tantarantana","01. Ciutat Vella",,,http://www.tantarantana.com/index.php/ca,"Teatre Tantarantana (Àtic 22)",28,
2016,"Arts escèniques",Municipal,"Teatre Tantarantana","Fàbriques de Creació","Sales d'arts escèniques de - 200 butaques","Teatre Tantarantana","01. Ciutat Vella",,,http://www.tantarantana.com/index.php/ca,"Teatre Tantarantana (sala planta baixa)",41,
2016,"Arts escèniques",Privada,"Grup Balaña","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Tívoli","02. Eixample",41.389052665,2.170720909,https://www.grupbalana.com,"Teatre Tívoli",19,
2016,"Arts escèniques",Privada,"Tres x Tr3s","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Teatre Victòria","03. Sants-Montjuïc",41.374778065,2.169244522,http://www.teatrevictoria.com,"Teatre Victòria",19,
2016,"Arts escèniques",Privada,"Activitats & Realitats","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques",Teatreneu,"06. Gràcia",,,http://www.teatreneu.com,"Teatreneu (Sala Cafè Teatre)",23,
2016,"Arts escèniques",Privada,"Activitats & Realitats","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques",Teatreneu,"06. Gràcia",,,http://www.teatreneu.com,"Teatreneu (Sala del Mig)",3,
2016,"Arts escèniques",Privada,"Activitats & Realitats","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques",Teatreneu,"06. Gràcia",,,http://www.teatreneu.com,"Teatreneu (Sala Xavier Fàbregas)",16,
